NUANO,NUVOLUME,NUTRAMITE,FLTIPOPROCESSO,CDTIPOPARECER,CDMOTIVOTRAMI,FLPARECERASSINADO,FLTRAMIASSINADA,FLULTIMO,FLSITUACAO,FLSIGILOSO,FLPERMITERECUSA,FLBLOQUEIATRAMI,CDORGAOORIGEM,CDORGAOTRAMI
2013,1,7,F,4,,,,S,A,N,S,0,1537,7
2013,1,9,F,4,,,,S,A,N,S,0,1,1537
2013,0,2,L,,,,,,,N,S,0,5901,432
2013,0,31,L,,,,,,,N,S,0,51,2002
2013,0,6,C,,,,,,,N,S,0,51,2002
2013,0,4,L,,,,,,,N,S,0,50,7
2013,0,2,L,,,,,,,N,S,0,1537,2008
2013,0,219,L,,,,,,,N,S,0,51,5901
2012,1,78,F,,,,,N,R,N,S,0,633,2002
2013,1,134,F,4,,,,N,A,N,S,0,51,5901
2013,1,8,F,,,,,S,A,N,S,0,27,50
2013,1,12,F,4,,,,S,Q,N,S,0,633,1791
2013,1,4,F,4,,,,S,Q,N,S,0,1875,1
2013,1,13,F,4,,,,S,Q,N,S,0,27,2008
2013,0,16,L,,,,,,,N,S,0,51,2002
2013,1,2,F,4,,,,S,A,N,S,0,2004,2006
2013,0,3,L,,,,,,,N,S,0,51,7
2013,0,2,L,,,,,,,N,S,0,1,1635
2013,1,2,F,4,,,,S,A,N,S,0,,1
2013,1,9,F,4,,,,S,A,N,S,0,92,93
2013,1,16,F,4,,,,S,A,N,S,0,1996,93
2013,0,5,C,,,,,,,N,S,0,1,1537
2013,1,22,F,,,,,S,E,N,S,0,1,1996
2013,0,2,L,,,,,,,N,S,0,2004,7
2013,1,3,F,,,,,S,E,N,S,0,1539,213
2013,0,4,L,,,,,,,N,S,0,2004,27
2013,0,9,L,,,,,,,N,S,0,10,10
2013,0,4,L,,,,,,,N,S,0,2127,1788
2013,0,3,L,,,,,,,N,S,0,431,7
2013,1,3,F,4,,,,S,A,N,S,0,1,7
2013,1,16,F,,,,,S,R,N,S,0,2008,2004
