NUANO,FLTIPOPROCESSO,NUTRAMITE,CDASSUNTO,CDTIPOPARECER,CDSETORRESP,CDSETORABERTURA,CDSETORAUTUACAO,CDTIPOPROCESSO,CDUSUARIO,CDSETORORIGEM,CDSETORDESTINO
2018,F,13,15,1,7,7,2004,1,VASILVA,50,2004
2018,F,2,39,1,1539,7,428,1,NELIZA,7,1539
2018,F,4,39,4,1539,7,428,1,KCIPRIANI,6029,7
2018,F,5,7,1,2010,2010,10,1,VAMARAL,2018,10
2018,F,8,110,1,51,2002,2002,1,CRODRIGUES,2002,1537
2018,F,6,80,1,1537,7,7,1,APPEREIRA,6029,7
2018,F,7,80,1,1,7,7,1,NELIZA,6027,2002
2018,F,9,110,1,51,51,51,1,BLEIRIA,2002,51
2018,F,6,110,1,51,51,51,1,ACFREITAS,51,2002
2018,F,5,110,1,51,51,51,1,NELIZA,1537,51
2018,F,4,110,1,51,51,51,1,FPGCOSTA,51,1537
2018,F,3,80,1,6083,6080,1608,1,NELIZA,2,7
2018,F,6,80,1,6029,7,7,1,MMANDRADE,33,7
2018,F,3,80,1,6029,7,7,1,APPEREIRA,6029,33
2018,F,9,44,1,1996,1996,1996,1,KSANHAIA,1996,633
2018,F,21,110,1,51,51,51,1,BBRIBEIRO,2002,5901
2018,F,16,110,1,51,51,51,1,NELIZA,6027,51
2018,F,3,80,4,6080,6080,3086,1,JSOUZA,2,7
2018,F,2,80,1,6080,6080,3086,1,MAZEVEDO,6080,2
2018,F,5,7,,10,7,10,1,VASMAFIOLETTI,10,2018
2018,F,4,7,1,2006,2006,580,1,SAKOERICH,2004,2006
2018,F,4,7,1,2006,2006,1006,1,SAKOERICH,2004,2006
2018,F,2,7,1,2006,2006,1006,1,RFERNANDES,2006,2012
2018,F,11,44,1,10,10,10,1,KCIPRIANI,6029,10
2018,F,10,10,1,7,7,2004,1,LJACQUES,50,633
2018,F,5,10,1,7,7,2004,1,NELIZA,7,50
2018,F,5,110,1,51,51,51,1,DORIS,51,5901
2018,F,7,6,,2010,2010,2010,1,ISRICARTE,2012,2010
2018,F,9,23,,2004,2004,2004,1,LJACQUES,50,2004
2018,F,3,110,,51,51,51,1,SRPATRICIO,7,1006
2018,F,6,7,4,1,7,461,1,VASILVA,2004,50
2018,F,12,20,1,2006,2006,2006,1,MMANDRADE,7,50
2018,F,11,20,1,2006,2006,2006,1,VASILVA,2004,7
2018,F,3,79,,1537,7,1537,1,JSOUZA,6027,6214
2018,F,6,44,4,1996,1996,1996,1,NELIZA,1,1996
2018,F,12,19,,1,7,7,1,LJACQUES,50,2004
2018,F,35,115,1,50,7,7,1,RRZDASILVA,2006,2004
2018,F,19,115,1,50,7,7,1,SFLUZ,2004,2006
2018,F,7,115,1,50,7,7,1,LJACQUES,50,2010
2018,F,11,115,1,50,7,7,1,JSOUZA,7,50
2018,F,16,115,1,50,7,7,1,LJACQUES,50,2006
2018,F,10,115,1,50,7,7,1,JSOUZA,7,7
2018,F,13,115,1,50,7,7,1,JTRES,2006,50
2018,F,20,115,1,50,7,7,1,JTRES,2006,50
2018,F,5,115,1,50,7,7,1,LJACQUES,50,7
2018,F,14,115,1,50,7,7,1,LJACQUES,50,7
