@relation 'tramitacoes2018_2-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-2,4,7-8'

@attribute CDASSUNTO {1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,19,20,21,22,23,24,25,26,28,29,30,32,38,39,41,44,49,70,71,73,74,75,77,78,79,80,83,89,91,92,93,94,96,97,98,99,100,101,102,103,105,106,107,108,109,110,111,112,114,115}
@attribute CDSETORRESP {1,2,7,8,10,20,27,32,33,35,39,47,50,51,52,53,60,62,83,90,92,93,141,151,213,229,259,277,284,285,305,348,364,450,756,1006,1078,1103,1286,1308,1397,1417,1537,1538,1539,1540,1541,1575,1786,1788,1791,1793,1844,1875,1876,1881,1978,1996,2002,2004,2006,2008,2010,2012,2014,5743,5885,5930,5982,5994,6027,6028,6029,6080,6083,6097,6211,6214,6215,6216,6221,6224,6227,6230}
@attribute CDSETORABERTURA {3,7,10,27,32,33,50,51,53,60,73,83,84,87,90,92,93,234,613,718,769,775,778,782,990,992,993,997,1006,1026,1061,1065,1072,1095,1205,1235,1249,1561,1786,1788,1791,1793,1835,1844,1875,1996,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2128,5893,5895,5898,5899,5902,6064,6074,6080,6128,6205,6211,6214,6215,6216,6217,6218,6220,6221,6222,6230}
@attribute CDUSUARIO {AACASTRO,VASILVA,MCARVALHO,ACFREITAS,GERSON,VVCOSTA,ISRICARTE,REBSOUZA,FGCRUZ,PVCOSTA,MMANDRADE,SRPATRICIO,MWENTZ,CDSILVA,DDURIEUX,LJACQUES,CFSILVA,MTRICHARTZ,DORIS,JSOUZA,PPASSOLD,EKZAPPELINI,BVIEIRA,AHSANTOS,LCAVALLERI,ACRESPALDI,WBALSAMO,BBRIBEIRO,FPGCOSTA,EDORIGATTI,MTCESCONETO,ESARMENTO,NELIZA,PREMOR,HVMAZZOLA,BBROGNOLI,VOLIVEIRA,VAMARAL,LCSMACHADO,SDCARDOSO,JTRES,RMARTENDAL,CRODRIGUES,SMITHOMAZ,MMDASILVA,NRFERNANDES,DROGLIO,EMMFILHO,RCAVANHOLI,MIPZIMMERMANN,RRZDASILVA,TMBATISTA,SDMARCOS,MGUEDES,LFUHR,APPEREIRA,YCOSTA,ILIMA,PMFINARDI,VAGUIAR,MMARTINS,TBMEDEIROS,MAZEVEDO,LCLAGO,SAKOERICH,BCCORTES,MROSA,LDECKER,RKRAUS,DASILVA,KCIPRIANI,GJMOZZER,TLSANTOS,SFPEREIRA,BLEIRIA,KSANHAIA,VASMAFIOLETTI,RFERNANDES,SFLUZ,FEMSANTOS,YFERREIRA,LRGREGORIO,ACERVI,OBOING,ALIGARAUJO,LMDSANTOS,MVALERIO,GNDASILVA,MSCOSTA,LAVILLA,AMKOCH,FCOLLET,TRAMIRES,CLCCOSTA,IMCKOCHE,SLKRAESKI,ABSSOUZA,BFGONZAGA,MHULLER,LHSAAR,VPARGENDLER,EZANFERRARI,AVPEREIRA,TRECH,LEMPEREIRA,NMGODINHO,FLISBOA,SGA,TCRAIMUNDO,RGPINHEIRO,FREGIS,SRIGOTTI,LMSANTOS,JMMZEFERINO,ISA,HMARTINELLI,JMBARRETO,TCAPISTRANO,AGARAUJO,FBRITO,SSAMORIM,SKOCH,JBOMBASAR,LBUSS,JCCONRADO,RSCHIEFLER,FGREGUI,DCHEINECK,CSILVANO,LFROSA,MSARTOR,RELUZ,ENBRAS,WDACPARRELLA,RDAROS,TGBETIO,VRCASTRO,SELIAS,AMOLIVEIRA,JFONTOURA,MBATTIATO,MMONGUILHOTT,GMERIZE,ISILVEIRA,AVOLIVEIRA,FLCHAVES,FCOMIN,ISNUNES,MFTONINI,MGHENRIQUE,RCARLESSO,JJESKE,BSCUNHA,TBOSCHINI,SAMSILVA,MLIMA,SSIPRIANO,DBRISTOT,BNOSOL,SNORONHA,MCONCEICAO,RSDEMELO,RRAMOS,RGRUMICHE,RZEFERINO,LHNUNES,GDDASILVA,GCORREGGIO,JAPARECIDA,IAFACINI,PWBRAMONT,GFRANZONI,RPTDAVILA,FWESTPHAL,EAFORTES,RAOLIVEIRA,JOFERNANDES,FCORAL,LFIGUEIRO,FKSOUZA,CSMATOS,RSEIFFERT,VACSOUZA,FISILVA,SZALVES,JROMAN,LHTHIESEN,MWALETE,PRSOUZA,AGSILVEIRA,MAYRAS,KPRIM,CSILVEIRA,IZAFFONATO,AAALMEIDA,MCOLSEN,PSSILVEIRA,JMENDES,BCOLPANI,GMAY,AWILBERT,JROSARIO,RMARIA,PALLEBRANDT,MCVIEIRA,HCOUTINHO,SSCOUTINHO,LLSILVA,KASSUNCAO,MLSERPA,FADESDACUNHA,APISANI,TRROCHA,DSEEMANN,MGSILVA,GLDAROS,RRMORAES,EBIAZIN,MRROSA,TDASILVEIRA,SPIRES,JCOMIM,JANAINA,MGATELLI,LPASCOAL,FRRODRIGUES,AASILVA,AJUMES,CSOLIVEIRA,DBERGMANN,RNSTIPP,ALONGO,MDACOREGGIO,JPERING,CHRISTIAN,RDEVANGELISTA,NLORENZ,DCUNHA,JSBVILAIN,MMVALE,TGBARROS,RHSOUZA,CAMILADEOLIVEIRA,MGROSSL,LMARTINS,MMBERNARDINO,CRSANTOS,EVIECELI,CESTEIL,JACOSTA,GSILVEIRA,GMROSA,LVIEIRA,LKEMPNER,MWINTER,CVICENTE,IANNES,ADRIANO,OZANCHI,ROPIRES,AGRAZIOTIN,EGOULART,OCIOFFI,CBOSCHETTO,SOBIERAJSKI,CSIQUEIRA,JMORIGUTI,JBOTEGA,RHOFFMANN,AFERRAZ,EMENDES,TDDESOUZA,LMIGUEL,JKSILVA,LRDUARTE}
@attribute CDSETORORIGEM {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,73,83,84,87,90,92,93,225,234,238,310,429,459,498,589,613,633,718,748,769,775,776,778,782,789,790,862,990,992,993,994,997,1006,1017,1026,1061,1065,1072,1095,1205,1235,1249,1308,1519,1537,1539,1561,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1978,1987,1996,2000,2002,2004,2005,2006,2007,2008,2010,2012,2014,2018,2127,2128,4732,5221,5893,5895,5898,5899,5901,5902,5932,5944,5957,5984,6020,6027,6029,6064,6065,6074,6080,6128,6205,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}
@attribute CDSETORDESTINO {1,2,3,4,7,10,27,32,33,35,50,51,52,53,59,60,61,62,83,84,87,90,92,93,225,230,238,310,429,431,436,459,498,524,589,613,633,748,775,776,778,782,789,790,862,994,997,1006,1017,1308,1519,1537,1539,1562,1786,1788,1791,1793,1804,1835,1844,1849,1875,1876,1881,1978,1987,1996,2000,2002,2004,2006,2008,2010,2012,2014,2018,2127,2128,2290,4732,5221,5287,5307,5893,5895,5899,5901,5902,5932,5944,5953,5957,5984,5986,6020,6027,6029,6062,6065,6080,6089,6103,6121,6211,6213,6214,6215,6216,6217,6218,6220,6221,6222,6229,6230}

@data
96,7,7,LAVILLA,7,6080
110,51,6220,FREGIS,6220,6214
89,6230,50,VPARGENDLER,50,2012
89,6230,50,ISRICARTE,2012,50
3,50,7,SFLUZ,7,6029
109,10,10,VAMARAL,10,7
109,10,10,MMANDRADE,7,50
6,2010,2010,TCRAIMUNDO,2010,2004
110,1537,51,DASILVA,1537,6027
110,51,87,DORIS,51,1006
11,2004,2004,MMANDRADE,7,50
80,50,7,MMANDRADE,6080,7
80,7,7,MMANDRADE,7,53
80,7,7,ILIMA,7,53
80,1537,7,FGREGUI,60,1
16,6029,7,MMANDRADE,7,6029
80,32,7,LRGREGORIO,51,5902
80,32,7,MMANDRADE,7,51
7,7,7,PPASSOLD,7,50
20,2004,2004,LJACQUES,50,2012
80,1,7,NELIZA,7,6080
13,2004,2004,PPASSOLD,50,2004
102,1537,7,LAVILLA,7,1537
80,7,7,FADESDACUNHA,1788,83
91,7,7,DORIS,51,1006
91,7,7,MMANDRADE,7,1537
91,7,7,SFPEREIRA,51,83
80,1,7,NELIZA,1,10
91,7,7,SRPATRICIO,7,1996
25,50,50,SRPATRICIO,7,50
6,50,7,LCAVALLERI,2012,2004
7,1,7,LJACQUES,50,2006
80,1537,7,SRPATRICIO,1537,51
80,1537,7,TRECH,2002,1537
80,1,7,JSOUZA,7,7
7,7,7,SRPATRICIO,7,50
49,53,7,SRPATRICIO,10,7
80,1,7,MMANDRADE,7,2006
89,50,7,WBALSAMO,6230,2012
94,50,7,MMANDRADE,1537,33
94,50,7,NELIZA,7,1537
80,7,7,MMANDRADE,7,51
110,51,5899,GERSON,51,1006
94,50,7,VASILVA,7,2004
15,53,7,MMANDRADE,7,50
89,6029,7,NELIZA,7,10
5,50,50,LJACQUES,50,2004
5,50,50,MMANDRADE,7,50
5,50,50,LJACQUES,50,7
110,51,1786,RNSTIPP,6211,51
89,50,10,ISRICARTE,53,2012
49,53,7,MMARTINS,50,2006
74,6230,6230,YFERREIRA,50,7
80,7,2002,ISRICARTE,2012,93
80,7,2002,LCLAGO,2002,7
80,1,7,DASILVA,1,10
6,2010,7,CFSILVA,2004,2012
3,50,7,PPASSOLD,50,2004
3,50,7,MMANDRADE,7,50
80,1537,7,MMANDRADE,7,1996
80,1,7,MMANDRADE,7,2004
94,50,7,FEMSANTOS,2004,50
94,50,7,VASILVA,2004,7
19,284,7,LJACQUES,50,2004
19,284,7,LAVILLA,7,6029
13,141,7,KCIPRIANI,6029,7
114,50,7,MMANDRADE,7,50
13,1,7,AHSANTOS,1,1017
13,1,7,GFRANZONI,1017,1
89,7,7,MMANDRADE,7,50
3,50,7,MVALERIO,6230,2012
44,10,10,HVMAZZOLA,51,1537
80,7,7,MMANDRADE,7,6020
89,151,7,MTRICHARTZ,6029,50
23,50,7,LJACQUES,50,7
16,6029,7,MTRICHARTZ,6029,50
16,6029,7,JSOUZA,7,6029
15,7,7,SRPATRICIO,7,50
89,6029,7,MTRICHARTZ,6029,50
16,50,50,SRPATRICIO,7,7
16,50,7,MTRICHARTZ,6029,50
16,6029,7,PPASSOLD,50,2004
80,7,7,TCAPISTRANO,1788,7
80,7,7,MMANDRADE,7,1788
94,50,7,LJACQUES,50,2004
10,7,7,VASILVA,2004,7
80,7,7,TCAPISTRANO,1788,7
109,27,7,SRPATRICIO,7,27
11,2008,2008,PPASSOLD,50,7
110,51,778,?,51,7
16,7,7,MMANDRADE,7,27
23,2008,7,SGA,2008,2004
80,7,7,RGRUMICHE,6222,7
89,6029,7,LJACQUES,1793,50
6,6230,50,PPASSOLD,50,1793
96,7,7,MMANDRADE,7,1788
20,2006,2006,JTRES,2006,50
6,50,7,MMANDRADE,7,50
15,50,7,VASILVA,2004,7
49,53,7,MMANDRADE,7,53
16,50,7,LJACQUES,50,2004
80,1,7,AMOLIVEIRA,1,7
110,51,6222,RZEFERINO,778,51
17,2010,2010,SRPATRICIO,7,50
19,50,50,LJACQUES,50,7
20,50,7,EKZAPPELINI,50,2004
74,1793,1793,ACRESPALDI,27,633
7,2002,2002,VASILVA,50,2006
7,2002,2002,NRFERNANDES,2002,50
3,50,7,SRPATRICIO,7,6029
16,50,7,VASILVA,2004,50
97,1788,7,MMANDRADE,7,1788
3,2004,2004,LJACQUES,50,7
80,1,7,SFLUZ,7,436
17,2010,2010,EKZAPPELINI,50,2004
109,6230,50,ISRICARTE,2012,2004
109,6230,50,LJACQUES,50,2012
80,7,7,CSILVEIRA,5984,7
20,2008,2008,NELIZA,7,50
28,7,7,MROSA,53,92
28,7,7,REBSOUZA,633,93
28,7,7,MMANDRADE,7,53
6,2012,2012,ISRICARTE,2012,2010
89,50,1793,PPASSOLD,50,633
89,50,7,MMANDRADE,7,6029
80,7,7,JSOUZA,7,6029
16,7,7,NELIZA,7,50
80,7,7,MMANDRADE,7,50
6,2010,2010,LCSMACHADO,2010,1537
3,6029,7,MMANDRADE,7,6029
20,7,7,SRPATRICIO,7,50
20,7,7,PPASSOLD,50,2004
20,7,7,VASILVA,2004,7
80,7,7,ILIMA,53,7
80,7,7,REBSOUZA,633,7
110,51,5898,DORIS,51,1006
49,53,7,MTRICHARTZ,6029,92
19,50,7,ACRESPALDI,2012,50
110,51,1835,DORIS,51,1006
80,7,7,RMARTENDAL,1788,7
6,50,50,LJACQUES,50,2012
3,50,7,MTRICHARTZ,6029,50
49,53,7,LAVILLA,7,6029
15,7,7,LJACQUES,50,2004
49,53,7,RKRAUS,2012,10
5,7,7,NELIZA,7,2010
75,27,7,MMANDRADE,7,27
80,7,7,NELIZA,7,7
5,2010,7,MMANDRADE,7,2010
16,2004,50,MMANDRADE,7,7
89,6029,7,SFLUZ,7,6029
98,7,7,MMANDRADE,7,2002
17,7,50,LJACQUES,50,2004
89,50,7,SFLUZ,7,6029
17,50,7,SRPATRICIO,7,50
94,50,7,EKZAPPELINI,50,2012
44,10,10,VASILVA,50,2004
96,7,7,MMANDRADE,7,51
80,1,7,SRPATRICIO,7,1
19,50,7,VASILVA,2004,7
9,50,50,SRPATRICIO,7,50
9,50,50,MMANDRADE,7,50
9,50,50,VASILVA,2004,7
80,1,7,SRPATRICIO,7,1978
74,50,7,MMANDRADE,7,50
80,1537,7,NELIZA,7,60
89,50,7,EKZAPPELINI,1793,50
89,50,7,WBALSAMO,1793,50
89,50,7,EKZAPPELINI,50,1793
10,1,7,ILIMA,53,7
10,1,7,ILIMA,7,2000
89,6029,7,MTRICHARTZ,6029,27
49,7,7,JSOUZA,7,53
16,2004,50,EKZAPPELINI,50,2004
89,50,1793,SSIPRIANO,2012,50
89,50,1793,ISRICARTE,2012,50
101,7,7,NELIZA,7,7
80,6029,7,MTRICHARTZ,6029,50
94,2004,50,SRPATRICIO,7,50
94,2004,50,VASILVA,50,7
94,2004,50,VASILVA,50,7
80,1,7,JSOUZA,6027,6080
80,1,7,DASILVA,1537,7
80,1,7,ISA,1987,1537
25,7,7,SRPATRICIO,7,50
7,7,7,VASILVA,50,2006
80,1,7,MMANDRADE,7,1788
10,50,7,PPASSOLD,50,2004
80,7,7,NELIZA,7,50
89,6029,7,RKRAUS,2012,93
80,1,7,JSOUZA,7,1537
13,7,7,JSOUZA,7,6029
94,7,50,LJACQUES,50,2004
20,50,7,JSOUZA,7,50
75,50,7,SRPATRICIO,7,7
23,50,7,PPASSOLD,50,2004
23,50,7,MMANDRADE,7,50
109,1793,1793,LJACQUES,50,2012
7,50,7,EKZAPPELINI,50,2006
94,7,50,VASILVA,50,7
109,50,7,MMANDRADE,7,50
6,7,7,LJACQUES,50,7
80,1,7,NELIZA,7,6029
80,1,7,MMANDRADE,7,1
10,7,7,PPASSOLD,50,2004
16,50,7,EKZAPPELINI,50,2004
80,7,7,MMANDRADE,7,7
80,7,7,REBSOUZA,633,7
110,51,5898,GERSON,51,1006
80,1,7,LAVILLA,7,1539
3,50,7,LAVILLA,7,6029
80,1,7,MMANDRADE,7,50
23,50,7,LJACQUES,50,2004
89,50,10,LJACQUES,50,2012
6,2010,2010,CLCCOSTA,2012,93
6,2010,2010,MMDASILVA,2010,1537
80,52,7,MMANDRADE,7,52
80,1,7,LJACQUES,50,1537
89,50,7,LAVILLA,7,6029
89,50,7,ALIGARAUJO,6029,50
89,10,10,ISRICARTE,2012,93
110,51,6205,DORIS,51,1006
101,1,7,LAVILLA,7,1
16,6029,7,VASILVA,2004,50
10,50,7,SRPATRICIO,7,1537
10,50,7,SRPATRICIO,7,7
80,7,7,LJACQUES,50,7
3,6029,7,MMARTINS,50,2004
3,6029,7,ALIGARAUJO,6029,50
16,6029,7,MMARTINS,50,2004
83,50,50,LJACQUES,50,2004
16,6029,7,TBMEDEIROS,2004,50
94,2004,2004,LJACQUES,50,2004
112,7,7,MMANDRADE,7,1788
6,50,50,LJACQUES,50,7
6,50,50,ISRICARTE,2012,2004
16,2004,2004,MMANDRADE,7,50
107,92,92,MTCESCONETO,633,1
13,6029,7,MMANDRADE,6029,7
13,6029,7,MMANDRADE,7,6029
32,50,7,EKZAPPELINI,50,2012
49,1537,10,RCAVANHOLI,5893,92
6,2010,2010,TCRAIMUNDO,2010,1537
19,6029,7,VASILVA,2004,50
7,7,7,MMANDRADE,7,50
15,50,7,PPASSOLD,50,2004
80,7,7,JSOUZA,7,1006
110,51,5893,DORIS,51,1006
80,1,7,MMANDRADE,7,1
108,50,50,LJACQUES,50,2012
89,2012,50,LJACQUES,50,2012
89,6230,50,ISRICARTE,2012,50
89,10,10,LJACQUES,50,2012
110,51,2128,SNORONHA,2128,1835
78,1537,7,MMANDRADE,7,51
5,2010,2010,DDURIEUX,2010,2012
7,10,7,MMANDRADE,7,10
89,50,7,LJACQUES,50,2004
19,6029,7,NELIZA,7,6029
10,7,7,MMANDRADE,7,50
92,53,7,MMANDRADE,7,1006
101,1,7,DASILVA,1,35
101,1,7,SRPATRICIO,7,1
80,7,7,ILIMA,7,53
80,7,7,SRPATRICIO,7,7
74,6230,50,SRPATRICIO,7,50
49,1537,5893,GNDASILVA,5893,92
20,2004,2004,SAKOERICH,2004,6211
110,51,5893,GERSON,51,1006
28,1537,10,GNDASILVA,5893,93
28,1537,10,MGUEDES,10,5893
6,7,7,MMANDRADE,7,10
49,50,10,APISANI,10,50
15,50,7,JSOUZA,7,50
74,50,50,LJACQUES,50,7
89,53,10,APISANI,10,53
80,7,7,GMAY,32,7
6,2010,2010,TCRAIMUNDO,2010,2012
109,50,7,SRPATRICIO,7,50
49,6029,7,NELIZA,7,6029
28,93,93,LDECKER,93,633
49,53,7,MROSA,53,92
80,1537,7,JSOUZA,7,61
80,1,7,MCONCEICAO,1978,1562
49,1537,5893,RCAVANHOLI,5893,53
80,1,7,AHSANTOS,1,60
44,2004,2004,TBMEDEIROS,2004,50
2,50,7,SFLUZ,7,50
89,7,7,LJACQUES,50,2012
80,1,7,MFTONINI,6020,1
80,1,7,LAVILLA,7,1
80,7,7,SRPATRICIO,7,1788
110,51,6221,DORIS,51,1006
102,1786,7,SRPATRICIO,7,1786
17,7,7,LJACQUES,50,7
74,6230,50,LJACQUES,50,7
17,7,7,MFTONINI,6020,7
6,2010,2010,BCCORTES,2010,2012
23,50,50,LJACQUES,50,2004
19,2004,2004,PPASSOLD,50,2004
49,53,7,MGUEDES,10,53
49,53,7,ALIGARAUJO,6029,10
80,7,7,SRPATRICIO,7,2002
110,51,1786,JJESKE,1786,51
89,50,7,ISRICARTE,7,2012
44,10,10,MIPZIMMERMANN,2004,2006
19,10,10,SRPATRICIO,7,50
3,6029,7,SRPATRICIO,7,6029
101,1,7,DASILVA,1,1987
101,1,7,NELIZA,7,1
15,50,7,AHSANTOS,1537,2004
89,6029,7,LJACQUES,50,2012
110,51,1205,DORIS,51,32
13,7,7,MMANDRADE,7,50
80,1,7,LMDSANTOS,7,1537
10,2004,2004,TBMEDEIROS,2004,50
71,53,7,REBSOUZA,633,93
49,10,10,MCARVALHO,10,92
20,50,7,MMANDRADE,7,50
13,6029,7,FEMSANTOS,2004,50
19,7,7,WBALSAMO,2004,50
110,51,6080,AVOLIVEIRA,6080,51
80,1537,7,AHSANTOS,1537,1996
16,2004,2004,SAKOERICH,2004,7
110,53,51,DORIS,51,53
49,50,7,KCIPRIANI,6029,92
110,51,10,MGSILVA,429,51
110,51,10,MGSILVA,429,51
110,51,10,VAMARAL,10,429
101,1,7,MMANDRADE,7,1
101,1,7,MMANDRADE,7,1
101,1,7,DASILVA,1,7
80,1,7,SRPATRICIO,1,60
80,7,7,MMANDRADE,7,5957
89,50,7,ISRICARTE,2012,93
14,1,7,LMDSANTOS,7,1537
94,50,7,PPASSOLD,50,2004
75,50,7,ILIMA,53,7
89,50,7,ISRICARTE,10,2012
16,1,7,LJACQUES,50,2004
7,1,7,LJACQUES,50,2006
80,6080,7,DASILVA,6080,6029
89,2012,50,AACASTRO,2004,2012
89,2012,50,REBSOUZA,633,50
16,50,50,LJACQUES,50,7
80,7,7,MMANDRADE,1537,1788
7,2006,92,ESARMENTO,92,2006
20,50,7,ALIGARAUJO,6029,7
89,10,10,VASMAFIOLETTI,10,53
20,50,7,LJACQUES,50,6230
49,1537,5893,SAMSILVA,10,5893
110,83,2002,AVPEREIRA,83,2002
89,50,7,LMDSANTOS,7,6029
5,50,7,LJACQUES,50,2004
5,50,7,SRPATRICIO,7,50
110,51,6222,?,51,7
108,50,7,LJACQUES,50,2004
3,50,7,JSOUZA,7,50
16,50,7,LJACQUES,2004,50
80,7,7,SRPATRICIO,7,51
80,7,7,SRPATRICIO,7,1786
15,7,7,NELIZA,7,50
80,1,7,MMARTINS,50,2006
110,51,1791,DORIS,51,1006
80,1,7,SRPATRICIO,1,6027
80,7,7,MMANDRADE,7,6221
20,50,7,MMARTINS,50,2004
80,1537,7,KPRIM,1788,7
80,1537,7,NELIZA,7,1788
80,7,7,GERSON,51,2002
94,1537,7,JSOUZA,7,50
89,10,7,CLCCOSTA,2012,93
16,50,7,LJACQUES,50,2004
78,1,7,DASILVA,1,10
89,50,7,MMARTINS,50,2004
110,51,1026,AVOLIVEIRA,1791,51
110,51,1026,DORIS,51,1791
110,51,1026,AVOLIVEIRA,1026,1519
112,7,7,PRSOUZA,1788,7
80,1,7,NELIZA,33,7
6,6230,6230,LJACQUES,50,2012
5,2010,7,ALIGARAUJO,6029,2010
5,50,50,LJACQUES,50,2004
20,50,7,MMANDRADE,7,50
19,50,7,TBMEDEIROS,2004,50
91,1537,7,SRPATRICIO,1537,51
80,1537,7,GERSON,51,5984
110,51,2128,FKSOUZA,1788,51
80,1537,7,ACFREITAS,51,2002
80,7,7,JSOUZA,7,50
17,2006,2006,VASILVA,2004,2006
16,50,7,VASILVA,2004,50
94,7,7,JSOUZA,7,50
49,53,7,SRPATRICIO,7,6029
110,51,5893,DORIS,51,1006
49,53,7,JSOUZA,7,53
70,7,7,JSOUZA,7,51
70,7,7,JSOUZA,7,7
112,7,7,SRPATRICIO,7,6020
80,7,7,TDASILVEIRA,83,7
80,7,7,MMANDRADE,7,7
89,2012,6230,ISRICARTE,2012,50
91,1537,7,ILIMA,53,1537
80,7,7,JSOUZA,7,7
80,1537,7,AHSANTOS,1537,2002
80,1,7,RRMORAES,6020,1537
7,2010,2010,DDURIEUX,2010,7
19,50,7,MIPZIMMERMANN,50,2004
49,53,7,MCARVALHO,2012,92
97,7,7,MMANDRADE,7,83
89,50,7,RKRAUS,2012,50
110,51,1844,AGRAZIOTIN,238,51
80,7,7,MMANDRADE,7,1788
89,6029,7,ISRICARTE,6029,2012
89,50,10,LFUHR,10,50
49,1537,5893,GNDASILVA,5893,92
70,7,7,LHNUNES,93,633
16,50,7,ALIGARAUJO,6029,50
13,1,7,NELIZA,6029,7
89,10,10,MMARTINS,50,2012
80,1539,7,NELIZA,1539,7
80,1539,7,NELIZA,7,1539
78,1,7,NELIZA,7,1881
5,2010,2010,ILIMA,53,93
80,50,7,LJACQUES,50,2004
6,50,50,PPASSOLD,50,2012
80,1,7,JSOUZA,7,1876
6,2010,7,MMDASILVA,2010,2012
80,6029,7,MMANDRADE,7,1539
110,51,1791,AVOLIVEIRA,1791,51
13,50,7,LAVILLA,7,1
3,50,7,MMARTINS,50,2004
3,50,7,VACSOUZA,7,6029
15,50,7,NELIZA,7,1537
80,1,7,SRPATRICIO,1,7
110,51,7,DORIS,51,1006
102,7,51,HVMAZZOLA,51,7
10,50,7,LJACQUES,50,2004
89,50,7,ISRICARTE,2012,93
110,51,6074,FRRODRIGUES,6074,51
24,50,7,VASILVA,2004,50
25,50,7,JSOUZA,7,50
17,20,7,TMBATISTA,50,2004
101,1537,7,AMOLIVEIRA,1537,1
101,1537,7,FGREGUI,60,7
112,7,7,LEMPEREIRA,7,1788
23,1537,7,MMARTINS,50,2004
3,50,7,MMANDRADE,7,50
89,50,7,NELIZA,7,6029
101,1,7,PREMOR,6080,10
74,50,7,LMDSANTOS,7,50
13,50,50,LJACQUES,50,2004
13,50,50,LJACQUES,7,50
91,50,7,CESTEIL,33,1537
78,1,7,JSOUZA,7,1876
96,7,7,MMANDRADE,7,1791
80,7,7,LJACQUES,50,2010
80,7,7,MROSA,53,92
21,50,50,MMANDRADE,7,50
80,1,7,ILIMA,53,1537
10,50,7,EKZAPPELINI,50,2004
89,50,10,ISRICARTE,10,2012
49,50,50,LJACQUES,53,50
49,50,50,LJACQUES,50,53
91,50,7,JAPARECIDA,6211,7
80,1537,7,MMANDRADE,7,6029
15,50,7,MMARTINS,50,2004
110,51,993,DORIS,51,1006
110,51,1786,RAOLIVEIRA,6211,1786
110,51,1786,DORIS,51,1786
94,7,7,MMANDRADE,7,7
13,1537,7,SFLUZ,7,1537
20,50,7,NELIZA,7,50
3,6029,7,LJACQUES,50,2004
49,53,7,NELIZA,7,53
80,1539,7,JSOUZA,7,1539
80,50,7,LMDSANTOS,7,6029
109,2012,50,EKZAPPELINI,50,5901
3,7,7,VASILVA,2004,50
19,50,7,MMANDRADE,6029,7
19,50,7,ALIGARAUJO,6029,50
6,2010,2010,CLCCOSTA,2012,93
89,50,7,JSOUZA,7,7
49,50,7,LAVILLA,7,1537
30,50,7,LAVILLA,7,1786
13,50,7,PPASSOLD,7,50
23,1537,7,MMANDRADE,7,1537
23,1537,7,AHSANTOS,1537,50
49,92,7,ALIGARAUJO,6029,53
28,50,7,AHSANTOS,1537,53
23,50,7,RDAROS,2004,50
94,50,7,SRPATRICIO,7,50
19,7,7,NELIZA,7,50
80,7,7,MMANDRADE,7,498
80,1,7,DASILVA,1,59
49,50,7,LJACQUES,50,2004
20,7,7,NELIZA,7,50
94,50,7,MMANDRADE,7,6029
80,7,7,SRPATRICIO,7,50
17,50,50,TBMEDEIROS,2004,50
9,2004,2004,MMANDRADE,7,50
44,10,10,MGUEDES,10,50
89,50,50,LJACQUES,50,7
89,50,50,SRPATRICIO,7,50
80,7,7,MMANDRADE,2010,7
79,1537,7,NELIZA,7,6027
80,7,7,SRPATRICIO,7,1537
80,7,7,SRPATRICIO,7,2004
16,50,7,VASILVA,6029,2004
97,7,7,MMANDRADE,7,7
80,1788,7,RAOLIVEIRA,6211,1788
15,50,7,MMANDRADE,1537,7
20,7,7,TBMEDEIROS,2004,50
19,2004,2004,SRPATRICIO,7,7
80,7,7,GMERIZE,83,6221
80,50,7,EGOULART,53,93
110,51,60,FGREGUI,60,1519
89,50,7,SRPATRICIO,6029,7
16,50,7,KCIPRIANI,6029,50
6,50,7,MTRICHARTZ,6029,50
80,1,7,LJACQUES,50,1537
80,1,7,DASILVA,1537,1
94,50,7,AACASTRO,50,7
101,1537,7,NELIZA,1,7
3,50,7,ALIGARAUJO,6029,50
80,1,7,MMANDRADE,7,1788
3,2004,2004,SFLUZ,7,6029
80,50,7,MMANDRADE,7,2010
10,50,7,MMANDRADE,7,50
16,6029,7,ALIGARAUJO,6029,50
16,6029,7,MMANDRADE,7,6029
80,1,7,MMANDRADE,7,1539
80,7,7,GMAY,32,7
16,7,7,LJACQUES,50,2004
89,1,7,SRPATRICIO,7,7
89,1,7,ISRICARTE,2012,633
3,50,7,MMANDRADE,7,7
24,50,7,LMDSANTOS,7,6029
80,6027,7,MMANDRADE,7,1996
101,1,7,MMANDRADE,7,1537
10,50,7,AACASTRO,2004,50
39,1,7,LAVILLA,7,1
20,50,7,AACASTRO,2004,7
44,10,10,MMANDRADE,1,7
44,10,10,MMANDRADE,7,50
16,2004,2004,MMANDRADE,7,2004
96,7,7,SZALVES,1788,7
74,50,50,SRPATRICIO,7,50
80,7,7,JSOUZA,7,50
78,1,7,NELIZA,7,60
28,50,50,LJACQUES,50,10
105,7,7,SDMARCOS,633,53
105,7,7,SRPATRICIO,7,7
105,7,7,ILIMA,53,7
19,6029,7,WBALSAMO,50,2012
89,50,10,ISRICARTE,2012,93
80,6029,7,ALIGARAUJO,6029,50
